,query acc.,query length,subject accs.,subject length,evalue,bit score,q. start,q. end,% query coverage per hsp,s. start,s. end,subject title,family
0,1.A.12.1.1-P35526,437,CDD:129941,236.0,7.400000000000001e-160,450.0,199,435,54.0,1.0,236.0,"TIGR00862, Chloride_intracellular_channel_protein_1, intracellular chloride channel protein.  The Organellar Chloride Channel (O-ClC) Family (TC 1.A.12) Proteins of the O-ClC family are voltage-sensitive chloride channels found in intracellular membranes but not the plasma membranes of animal cells. They are found in human nuclear membranes, and the bovine protein targets to the microsomes, but not the plasma membrane, when expressed in Xenopus laevis oocytes. These proteins are thought to function in the regulation of the membrane potential and in transepithelial ion absorption and secretion in the kidney. [Transport and binding proteins, Anions].",1.A.12
1,1.A.12.1.1-P35526,437,CDD:198330,141.0,1.73e-97,288.0,293,434,32.0,1.0,141.0,"cd10297, GST_C_CLIC5, C-terminal, alpha helical domain of Chloride Intracellular Channel 5.  Glutathione S-transferase (GST) C-terminal domain family, Chloride Intracellular Channel (CLIC) 5 subfamily; CLICs are auto-inserting, self-assembling intracellular anion channels involved in a wide variety of functions including regulated secretion, cell division, and apoptosis. They can exist in both water-soluble and membrane-bound states and are found in various vesicles and membranes, and they may play roles in the maintenance of these intracellular membranes. The membrane localization domain is present in the N-terminal part of the protein. Structures of soluble CLICs reveal that they adopt a fold similar to GSTs, containing an N-terminal domain with a thioredoxin fold and a C-terminal alpha helical domain. CLIC5 exists in two alternatively-spliced isoforms, CLIC5A or CLIC5B (also called p64). It is expressed at high levels in hair cell stereocilia and is associated with the actin cytoskeleton and ezrin. A recessive mutation in the CLIC5 gene in mice led to the lack of coordination and deafness, due to a defect in the basal region of the hair bundle causing stereocilia to degrade. CLIC5 is therefore essential for normal inner ear function. CLIC5 is also highly expressed in podocytes where it is colocalized with the ezrin/radixin/moesin (ERM) complex. It is essential for foot process integrity, and for podocyte morphology and function.",1.A.12
2,1.A.12.1.1-P35526,437,CDD:198329,141.0,2.26e-79,241.0,293,434,32.0,1.0,141.0,"cd10296, GST_C_CLIC4, C-terminal, alpha helical domain of Chloride Intracellular Channel 4.  Glutathione S-transferase (GST) C-terminal domain family, Chloride Intracellular Channel (CLIC) 4 subfamily; CLICs are auto-inserting, self-assembling intracellular anion channels involved in a wide variety of functions including regulated secretion, cell division, and apoptosis. They can exist in both water-soluble and membrane-bound states and are found in various vesicles and membranes, and they may play roles in the maintenance of these intracellular membranes. The membrane localization domain is present in the N-terminal part of the protein. Structures of soluble CLICs reveal that they adopt a fold similar to GSTs, containing an N-terminal domain with a thioredoxin fold and a C-terminal alpha helical domain. CLIC4, also known as p64H1, is expressed ubiquitously and its localization varies depending on the nature of the cells and tissues, from the plasma membrane to subcellular compartments including the nucleus, mitochondria, ER, and the trans-Golgi network, among others. In response to cellular stress such as DNA damage and senescence, cytoplasmic CLIC4 translocates to the nucleus, where it acts on the TGF-beta pathway. Studies on knockout mice suggest that CLIC4 also plays an important role in angiogenesis, specifically in network formation, capillary sprouting, and lumen formation. CLIC4 has been found to induce apoptosis in several cell types and to retard the growth of grafted tumors in vivo.",1.A.12
3,1.A.12.1.1-P35526,437,CDD:198334,140.0,1.8e-75,231.0,293,433,32.0,1.0,140.0,"cd10301, GST_C_CLIC6, C-terminal, alpha helical domain of Chloride Intracellular Channel 6.  Glutathione S-transferase (GST) C-terminal domain family, Chloride Intracellular Channel (CLIC) 6 subfamily; CLICs are auto-inserting, self-assembling intracellular anion channels involved in a wide variety of functions including regulated secretion, cell division, and apoptosis. They can exist in both water-soluble and membrane-bound states and are found in various vesicles and membranes, and they may play roles in the maintenance of these intracellular membranes. The membrane localization domain is present in the N-terminal part of the protein. Structures of soluble CLICs reveal that they adopt a fold similar to GSTs, containing an N-terminal domain with a thioredoxin fold and a C-terminal alpha helical domain. CLIC6 is expressed predominantly in the stomach, pituitary, and brain. It interacts with D2-like dopamine receptors directly and through scaffolding proteins. CLIC6 may be involved in the regulation of secretion, possibly through chloride ion transport regulation.",1.A.12
4,1.A.12.1.1-P35526,437,CDD:198333,139.0,3.7e-67,210.0,295,432,32.0,3.0,139.0,"cd10300, GST_C_CLIC1, C-terminal, alpha helical domain of Chloride Intracellular Channel 1.  Glutathione S-transferase (GST) C-terminal domain family, Chloride Intracellular Channel (CLIC) 1 subfamily; CLICs are auto-inserting, self-assembling intracellular anion channels involved in a wide variety of functions including regulated secretion, cell division, and apoptosis. They can exist in both water-soluble and membrane-bound states and are found in various vesicles and membranes, and they may play roles in the maintenance of these intracellular membranes. The membrane localization domain is present in the N-terminal part of the protein. Soluble CLIC1 is monomeric and adopts a fold similar to GSTs, containing an N-terminal domain with a thioredoxin fold and a C-terminal alpha helical domain. Upon oxidation, the N-terminal domain of CLIC1 undergoes a structural change to form a non-covalent dimer stabilized by the formation of an intramolecular disulfide bond between two cysteines that are far apart in the reduced form. The CLIC1 dimer bears no similarity to GST dimers. The redox-controlled structural rearrangement exposes a large hydrophobic surface, which is masked by dimerization in vitro. In vivo, this surface may represent the docking interface of CLIC1 in its membrane-bound state. The two cysteines in CLIC1 that form the disulfide bond in oxidizing conditions are essential for dimerization and chloride channel activity. CLIC1 is widely expressed in many tissues and its subcellular localization is dependent on cell type and cell cycle phase. It acts as a sensor of cell oxidation and appears to have a role in diseases that involve oxidative stress including tumorigenic and neurodegenerative diseases.",1.A.12
5,1.A.12.1.1-P35526,437,CDD:198307,119.0,5.43e-60,191.0,293,428,31.0,1.0,119.0,"cd03198, GST_C_CLIC, C-terminal, alpha helical domain of Chloride Intracellular Channels.  Glutathione S-transferase (GST) C-terminal domain family, Chloride Intracellular Channel (CLIC) subfamily; composed of CLICs (CLIC1-6 in vertebrates), p64, parchorin, and similar proteins. They are auto-inserting, self-assembling intracellular anion channels involved in a wide variety of functions including regulated secretion, cell division, and apoptosis. They can exist in both water-soluble and membrane-bound states and are found in various vesicles and membranes, and they may play roles in the maintenance of these intracellular membranes. Biochemical studies of the Caenorhabditis elegans homolog, EXC-4, show that the membrane localization domain is present in the N-terminal part of the protein. CLICs display structural plasticity, with CLIC1 adopting two soluble conformations. The structure of soluble human CLIC1 reveals that it is monomeric and adopts a fold similar to GSTs, containing an N-terminal domain with a thioredoxin fold and a C-terminal alpha helical domain. Upon oxidation, the N-terminal domain of CLIC1 undergoes a structural change to form a non-covalent dimer stabilized by the formation of an intramolecular disulfide bond between two cysteines that are far apart in the reduced form. The CLIC1 dimer bears no similarity to GST dimers. The redox-controlled structural rearrangement exposes a large hydrophobic surface, which is masked by dimerization in vitro. In vivo, this surface may represent the docking interface of CLIC1 in its membrane-bound state. The two cysteines in CLIC1 that form the disulfide bond in oxidizing conditions are essential for dimerization and chloride channel activity, however, in other subfamily members, the second cysteine is not conserved.",1.A.12
6,1.A.12.1.1-P35526,437,CDD:198331,138.0,6.089999999999999e-60,192.0,293,432,32.0,1.0,138.0,"cd10298, GST_C_CLIC2, C-terminal, alpha helical domain of Chloride Intracellular Channel 2.  Glutathione S-transferase (GST) C-terminal domain family, Chloride Intracellular Channel (CLIC) 2 subfamily; CLICs are auto-inserting, self-assembling intracellular anion channels involved in a wide variety of functions including regulated secretion, cell division, and apoptosis. They can exist in both water-soluble and membrane-bound states and are found in various vesicles and membranes, and they may play roles in the maintenance of these intracellular membranes. The membrane localization domain is present in the N-terminal part of the protein. Structures of soluble CLICs reveal that they adopt a fold similar to GSTs, containing an N-terminal domain with a thioredoxin fold and a C-terminal alpha helical domain. CLIC2 contains an intramolecular disulfide bond and exists as a monomer regardless of redox conditions, in contrast to CLIC1 which forms a dimer under oxidizing conditions. It is expressed in most tissues except the brain, and is highly expressed in the lung, spleen, and in cardiac and skeletal muscles. CLIC2 interacts with ryanodine receptors (cardiac RyR2 and skeletal RyR1) and modulates their activity, suggesting that CLIC2 may function in the regulation of calcium release and signaling in cardiac and skeletal muscles.",1.A.12
7,1.A.12.1.1-P35526,437,CDD:239359,91.0,1.6800000000000002e-56,181.0,199,286,20.0,4.0,91.0,"cd03061, GST_N_CLIC, GST_N family, Chloride Intracellular Channel (CLIC) subfamily; composed of CLIC1-5, p64, parchorin and similar proteins. They are auto-inserting, self-assembling intracellular anion channels involved in a wide variety of functions including regulated secretion, cell division and apoptosis. They can exist in both water-soluble and membrane-bound states, and are found in various vesicles and membranes. Biochemical studies of the C. elegans homolog, EXC-4, show that the membrane localization domain is present in the N-terminal part of the protein. The structure of soluble human CLIC1 reveals that it is monomeric and it adopts a fold similar to GSTs, containing an N-terminal domain with a TRX fold and a C-terminal alpha helical domain. Upon oxidation, the N-terminal domain of CLIC1 undergoes a structural change to form a non-covalent dimer stabilized by the formation of an intramolecular disulfide bond between two cysteines that are far apart in the reduced form. The CLIC1 dimer bears no similarity to GST dimers. The redox-controlled structural rearrangement exposes a large hydrophobic surface, which is masked by dimerization in vitro. In vivo, this surface may represent the docking interface of CLIC1 in its membrane-bound state. The two cysteines in CLIC1 that form the disulfide bond in oxidizing conditions are essential for dimerization and chloride channel activity, however, in other subfamily members, the second cysteine is not conserved.",1.A.12
8,1.A.12.1.1-P35526,437,CDD:198332,133.0,8.32e-54,175.0,293,427,31.0,1.0,132.0,"cd10299, GST_C_CLIC3, C-terminal, alpha helical domain of Chloride Intracellular Channel 3.  Glutathione S-transferase (GST) C-terminal domain family, Chloride Intracellular Channel (CLIC) 3 subfamily; CLICs are auto-inserting, self-assembling intracellular anion channels involved in a wide variety of functions including regulated secretion, cell division, and apoptosis. They can exist in both water-soluble and membrane-bound states and are found in various vesicles and membranes, and they may play roles in the maintenance of these intracellular membranes. The membrane localization domain is present in the N-terminal part of the protein. Structures of soluble CLICs reveal that they adopt a fold similar to GSTs, containing an N-terminal domain with a thioredoxin fold and a C-terminal alpha helical domain. CLIC3 is highly expressed in placental tissues, and may play a role in fetal development.",1.A.12
9,1.A.12.1.1-P35526,437,CDD:166458,265.0,1.66e-22,96.2,169,423,58.0,23.0,255.0,"PLN02817, PLN02817, glutathione dehydrogenase (ascorbate).",1.A.12
