Accession,Length,Family,Subfamily,Domains,Seperators
A4GCL7,90,1.A.102,1.A.102.1,"[('CDD:288812', 1, 87, 149.0)]",[]
AXH81214,57,1.A.102,1.A.102.1,"[('CDD:288812', 1, 56, 57.8)]",[]
AJD12486,57,1.A.102,1.A.102.1,"[('CDD:288812', 1, 56, 58.9)]",[]
AFH41240,90,1.A.102,1.A.102.1,"[('CDD:288812', 1, 86, 117.0)]",[]
P76298,692,1.A.104,1.A.104.1,"[('CDD:224217', 2, 692, 1005.0), ('CDD:235672', 2, 691, 1149.0), ('CDD:168293', 13, 677, 198.0), ('CDD:273599', 19, 689, 988.0), ('CDD:183699', 21, 689, 435.0), ('CDD:227127', 21, 689, 508.0), ('CDD:237946', 27, 689, 447.0), ('CDD:273600', 27, 689, 513.0), ('CDD:237205', 28, 689, 468.0), ('CDD:425861', 31, 681, 1003.0)]",[]
NCD33588,728,1.A.104,1.A.104.1,"[('CDD:224217', 12, 717, 765.0), ('CDD:227127', 14, 720, 510.0), ('CDD:235672', 18, 717, 886.0), ('CDD:237205', 23, 711, 447.0), ('CDD:273599', 25, 717, 761.0), ('CDD:273600', 25, 714, 489.0), ('CDD:168293', 27, 717, 211.0), ('CDD:183699', 28, 719, 422.0), ('CDD:237946', 32, 711, 420.0), ('CDD:425861', 35, 709, 900.0)]",[]
WP_005673529,713,1.A.104,1.A.104.1,"[('CDD:224217', 38, 712, 824.0), ('CDD:235672', 38, 712, 991.0), ('CDD:273599', 38, 705, 815.0), ('CDD:183699', 40, 642, 420.0), ('CDD:227127', 40, 705, 518.0), ('CDD:237946', 40, 705, 419.0), ('CDD:273600', 40, 704, 509.0), ('CDD:237205', 47, 697, 469.0), ('CDD:168293', 49, 341, 187.0), ('CDD:425861', 49, 700, 962.0)]",[]
WP_189658242,729,1.A.104,1.A.104.1,"[('CDD:168293', 59, 725, 168.0), ('CDD:183699', 59, 725, 385.0), ('CDD:224217', 59, 728, 892.0), ('CDD:227127', 59, 725, 496.0), ('CDD:235672', 59, 728, 1069.0), ('CDD:237205', 59, 725, 461.0), ('CDD:237946', 59, 725, 399.0), ('CDD:273599', 59, 725, 812.0), ('CDD:273600', 59, 725, 497.0), ('CDD:425861', 59, 718, 982.0)]","[('BEGIN to CDD:235672', 1, 58)]"
Q8NB16,471,1.A.105,1.A.105.1,"[('CDD:411030', 5, 121, 89.0), ('CDD:215061', 148, 471, 62.9), ('CDD:165291', 177, 469, 223.0), ('CDD:270632', 186, 467, 78.6), ('CDD:133192', 187, 466, 75.4), ('CDD:270652', 187, 469, 90.3), ('CDD:270653', 187, 469, 83.6), ('CDD:270655', 187, 460, 75.5), ('CDD:270657', 187, 469, 97.8), ('CDD:270658', 187, 469, 73.1), ('CDD:271053', 187, 471, 80.9), ('CDD:133213', 192, 466, 70.4), ('CDD:270635', 192, 469, 89.7), ('CDD:270683', 195, 471, 73.9), ('CDD:270684', 195, 471, 73.5), ('CDD:270913', 202, 464, 63.1), ('CDD:270631', 208, 467, 85.7), ('CDD:270639', 208, 469, 64.0), ('CDD:270668', 208, 468, 93.9), ('CDD:270902', 208, 467, 75.7), ('CDD:270954', 208, 407, 47.0), ('CDD:270956', 208, 456, 80.1), ('CDD:270970', 208, 468, 48.8), ('CDD:271055', 208, 471, 48.9), ('CDD:271060', 208, 412, 99.1), ('CDD:271104', 208, 445, 66.2), ('CDD:271106', 208, 471, 76.1), ('CDD:270660', 209, 471, 79.3), ('CDD:270672', 209, 469, 73.9), ('CDD:270673', 209, 469, 80.4), ('CDD:270959', 209, 463, 72.9), ('CDD:270946', 210, 470, 42.6), ('CDD:271044', 210, 467, 74.4), ('CDD:271046', 210, 467, 79.8), ('CDD:270666', 211, 468, 76.8), ('CDD:270998', 211, 463, 58.6), ('CDD:271059', 211, 408, 65.2), ('CDD:271062', 211, 466, 73.4), ('CDD:270865', 213, 464, 71.2), ('CDD:270866', 213, 459, 63.1), ('CDD:270641', 214, 467, 72.0), ('CDD:270671', 214, 467, 64.2), ('CDD:270968', 214, 466, 119.0), ('CDD:223589', 215, 464, 93.7), ('CDD:270901', 215, 466, 189.0), ('CDD:270911', 215, 462, 80.3), ('CDD:270912', 215, 464, 59.6), ('CDD:270969', 215, 457, 46.9), ('CDD:271023', 215, 461, 45.7), ('CDD:271057', 215, 466, 87.9), ('CDD:271103', 215, 432, 60.8), ('CDD:411126', 215, 469, 73.3), ('CDD:425449', 215, 464, 115.0), ('CDD:270642', 216, 468, 87.4), ('CDD:270648', 216, 471, 82.5), ('CDD:270649', 216, 468, 84.8), ('CDD:270833', 216, 406, 45.3), ('CDD:270881', 216, 463, 104.0), ('CDD:270891', 216, 412, 49.4), ('CDD:270935', 216, 463, 70.8), ('CDD:270964', 216, 466, 88.6), ('CDD:270965', 216, 466, 75.8), ('CDD:270973', 216, 464, 47.4), ('CDD:270975', 216, 462, 56.2), ('CDD:271051', 216, 466, 73.5), ('CDD:271052', 216, 463, 91.6), ('CDD:271134', 216, 467, 82.5), ('CDD:133243', 217, 467, 78.8), ('CDD:133247', 217, 469, 88.9), ('CDD:270640', 217, 466, 95.9), ('CDD:270686', 217, 469, 63.8), ('CDD:270810', 217, 464, 66.2), ('CDD:270895', 217, 464, 55.0), ('CDD:270944', 217, 471, 104.0), ('CDD:270961', 217, 466, 120.0), ('CDD:270966', 217, 468, 111.0), ('CDD:271045', 217, 470, 57.8), ('CDD:271047', 217, 468, 106.0), ('CDD:271048', 217, 467, 118.0), ('CDD:271049', 217, 469, 106.0), ('CDD:271050', 217, 468, 108.0), ('CDD:271054', 217, 471, 47.3), ('CDD:271061', 217, 422, 84.1), ('CDD:271121', 217, 471, 63.1), ('CDD:271122', 217, 467, 67.8), ('CDD:133187', 218, 468, 109.0), ('CDD:173637', 218, 466, 84.8), ('CDD:173657', 218, 463, 58.4), ('CDD:197581', 218, 466, 136.0), ('CDD:214568', 218, 466, 137.0), ('CDD:270623', 218, 466, 146.0), ('CDD:270637', 218, 466, 106.0), ('CDD:270786', 218, 464, 73.0), ('CDD:270884', 218, 464, 54.6), ('CDD:270900', 218, 469, 80.2), ('CDD:270904', 218, 412, 65.4), ('CDD:270955', 218, 471, 70.0), ('CDD:270958', 218, 466, 87.7), ('CDD:270960', 218, 467, 118.0), ('CDD:270963', 218, 468, 113.0), ('CDD:270982', 218, 464, 64.5), ('CDD:271022', 218, 423, 60.8), ('CDD:429616', 218, 466, 141.0), ('CDD:173655', 219, 471, 62.4), ('CDD:173656', 219, 471, 65.0), ('CDD:270636', 219, 467, 80.1), ('CDD:270903', 219, 466, 74.7), ('CDD:270633', 220, 466, 77.9), ('CDD:270663', 220, 467, 61.9), ('CDD:270947', 220, 466, 103.0), ('CDD:133228', 221, 462, 66.9), ('CDD:270674', 221, 466, 76.5), ('CDD:270669', 222, 405, 48.3), ('CDD:270782', 222, 464, 92.4), ('CDD:270644', 223, 462, 77.4), ('CDD:270792', 223, 465, 97.1), ('CDD:271064', 223, 464, 60.8), ('CDD:271065', 223, 462, 58.1), ('CDD:271066', 223, 462, 75.7), ('CDD:271124', 223, 470, 67.7), ('CDD:133186', 224, 462, 67.9), ('CDD:133248', 224, 469, 86.3), ('CDD:270650', 224, 468, 87.8), ('CDD:270907', 224, 463, 46.5), ('CDD:270928', 224, 458, 93.4), ('CDD:270986', 224, 464, 44.7), ('CDD:271002', 224, 463, 54.2), ('CDD:133178', 225, 467, 100.0), ('CDD:133194', 225, 466, 78.9), ('CDD:132943', 226, 464, 90.0), ('CDD:133195', 226, 467, 85.7), ('CDD:173625', 226, 467, 96.6), ('CDD:173638', 226, 469, 69.1), ('CDD:270622', 226, 466, 116.0), ('CDD:270629', 226, 469, 94.7), ('CDD:270630', 226, 460, 90.4), ('CDD:270651', 226, 466, 72.6), ('CDD:270667', 226, 466, 83.1), ('CDD:270677', 226, 466, 67.3), ('CDD:270692', 226, 464, 105.0), ('CDD:270733', 226, 462, 47.6), ('CDD:270823', 226, 418, 51.3), ('CDD:270828', 226, 464, 41.0), ('CDD:270916', 226, 468, 138.0), ('CDD:270957', 226, 470, 70.5), ('CDD:271133', 226, 464, 54.3), ('CDD:133181', 227, 462, 74.9), ('CDD:133227', 227, 462, 61.1), ('CDD:173631', 227, 466, 81.5), ('CDD:173644', 227, 468, 60.3), ('CDD:214567', 227, 464, 124.0), ('CDD:240233', 227, 423, 46.7), ('CDD:270634', 227, 468, 88.6), ('CDD:270638', 227, 467, 62.2), ('CDD:270643', 227, 466, 85.2), ('CDD:270647', 227, 467, 50.2), ('CDD:270659', 227, 466, 72.3), ('CDD:270675', 227, 471, 57.7), ('CDD:270676', 227, 471, 58.5), ('CDD:270685', 227, 466, 59.5), ('CDD:270687', 227, 464, 61.3), ('CDD:270788', 227, 464, 70.0), ('CDD:270789', 227, 464, 69.5), ('CDD:270827', 227, 464, 50.0), ('CDD:270880', 227, 458, 141.0), ('CDD:270890', 227, 413, 52.1), ('CDD:270905', 227, 464, 72.6), ('CDD:270909', 227, 464, 66.0), ('CDD:270910', 227, 464, 85.7), ('CDD:270972', 227, 464, 59.4), ('CDD:270980', 227, 463, 50.5), ('CDD:271001', 227, 463, 63.0), ('CDD:271018', 227, 464, 62.7), ('CDD:271019', 227, 464, 53.3), ('CDD:271021', 227, 462, 70.4), ('CDD:271042', 227, 471, 47.3), ('CDD:271067', 227, 463, 60.2), ('CDD:271105', 227, 460, 71.5), ('CDD:270693', 228, 462, 49.1), ('CDD:270802', 228, 463, 77.8), ('CDD:270896', 228, 464, 79.7), ('CDD:270999', 228, 424, 49.1), ('CDD:271000', 228, 464, 72.9), ('CDD:271056', 228, 458, 67.1), ('CDD:270662', 229, 466, 50.7), ('CDD:270863', 229, 465, 67.7), ('CDD:270670', 231, 467, 45.0), ('CDD:270949', 231, 466, 57.1), ('CDD:271108', 231, 467, 67.7), ('CDD:132954', 233, 463, 95.0), ('CDD:270654', 233, 469, 63.9), ('CDD:270656', 233, 460, 62.4), ('CDD:270664', 233, 469, 74.6), ('CDD:270665', 233, 462, 67.6), ('CDD:270897', 233, 464, 53.5), ('CDD:270898', 233, 466, 76.6), ('CDD:270945', 233, 471, 58.2), ('CDD:270948', 233, 464, 64.3), ('CDD:271107', 233, 462, 75.1), ('CDD:270796', 234, 464, 67.3), ('CDD:215036', 243, 464, 57.5), ('CDD:270760', 243, 456, 46.6), ('CDD:270800', 243, 464, 66.3), ('CDD:270886', 243, 463, 48.3), ('CDD:270936', 243, 463, 42.8), ('CDD:271033', 243, 463, 44.1), ('CDD:133193', 244, 466, 68.9), ('CDD:173765', 244, 465, 81.2), ('CDD:270858', 244, 465, 75.6), ('CDD:270859', 244, 463, 77.1), ('CDD:270862', 244, 465, 58.2), ('CDD:270885', 244, 464, 74.6), ('CDD:270932', 244, 463, 57.0), ('CDD:270933', 244, 463, 62.0), ('CDD:270934', 244, 463, 60.5), ('CDD:270940', 244, 412, 52.7), ('CDD:270941', 244, 412, 44.9), ('CDD:270967', 244, 466, 88.7), ('CDD:271089', 244, 463, 48.0), ('CDD:271090', 244, 464, 56.9), ('CDD:271123', 244, 405, 63.4), ('CDD:132971', 245, 464, 67.0), ('CDD:173759', 245, 465, 76.9), ('CDD:270794', 245, 463, 49.3), ('CDD:270803', 245, 464, 65.8), ('CDD:270804', 245, 464, 58.5), ('CDD:270805', 245, 466, 64.7), ('CDD:270809', 245, 464, 70.9), ('CDD:270887', 245, 471, 65.8), ('CDD:270914', 245, 463, 80.1), ('CDD:270937', 245, 463, 51.1), ('CDD:132953', 246, 463, 46.8), ('CDD:270832', 246, 423, 54.1), ('CDD:270645', 247, 468, 85.2), ('CDD:270799', 248, 464, 57.0), ('CDD:270861', 248, 464, 67.8), ('CDD:270787', 249, 464, 73.9), ('CDD:270848', 249, 382, 47.7), ('CDD:270855', 249, 464, 93.3), ('CDD:270856', 249, 413, 64.2), ('CDD:270860', 249, 464, 68.2), ('CDD:270888', 249, 466, 63.1), ('CDD:270927', 249, 462, 91.8), ('CDD:270929', 249, 469, 84.5), ('CDD:270938', 249, 467, 44.4), ('CDD:270942', 249, 462, 46.2), ('CDD:270943', 249, 419, 42.0), ('CDD:270962', 249, 468, 96.2), ('CDD:271020', 249, 462, 49.7), ('CDD:271058', 249, 466, 77.2), ('CDD:133230', 250, 466, 74.2), ('CDD:173652', 250, 466, 70.8), ('CDD:173767', 250, 421, 58.0), ('CDD:270646', 250, 466, 85.5), ('CDD:270678', 250, 466, 67.3), ('CDD:270679', 250, 466, 67.3), ('CDD:270785', 250, 464, 81.6), ('CDD:270857', 250, 464, 72.6), ('CDD:270867', 250, 468, 60.2), ('CDD:270868', 250, 464, 84.8), ('CDD:270894', 250, 467, 108.0), ('CDD:271043', 250, 458, 52.3), ('CDD:271092', 250, 414, 54.5), ('CDD:143368', 251, 470, 48.4), ('CDD:270846', 251, 441, 50.0), ('CDD:270790', 253, 464, 56.2), ('CDD:270791', 254, 464, 74.3), ('CDD:270822', 254, 464, 86.0), ('CDD:133219', 260, 467, 57.7), ('CDD:270661', 265, 467, 47.2), ('CDD:173686', 275, 456, 46.2), ('CDD:270745', 275, 456, 41.2), ('CDD:271004', 276, 463, 51.9), ('CDD:270899', 278, 464, 65.1), ('CDD:240344', 280, 463, 50.3), ('CDD:270879', 282, 435, 46.4), ('CDD:173653', 288, 458, 55.4), ('CDD:270877', 301, 466, 47.1), ('CDD:271109', 301, 466, 56.5), ('CDD:173729', 303, 464, 61.3), ('CDD:270864', 309, 414, 58.7), ('CDD:270680', 314, 466, 46.5), ('CDD:270952', 315, 464, 51.2), ('CDD:133237', 328, 462, 42.9), ('CDD:140293', 328, 463, 49.2), ('CDD:270681', 328, 466, 48.8), ('CDD:270682', 328, 466, 51.8), ('CDD:270951', 328, 463, 54.8), ('CDD:271003', 368, 463, 47.5)]",[]
XP_007198334,711,1.A.105,1.A.105.1,"[('CDD:178053', 15, 235, 254.0), ('CDD:225546', 106, 231, 56.3), ('CDD:397991', 110, 232, 83.2), ('CDD:411030', 244, 386, 92.0), ('CDD:133228', 425, 703, 56.5), ('CDD:270677', 425, 703, 59.6), ('CDD:270803', 425, 704, 64.3), ('CDD:173655', 428, 708, 72.8), ('CDD:270653', 428, 710, 89.0), ('CDD:270657', 428, 710, 82.0), ('CDD:270678', 428, 707, 78.5), ('CDD:270683', 428, 708, 74.7), ('CDD:270634', 429, 709, 94.8), ('CDD:270809', 429, 705, 78.6), ('CDD:165291', 433, 710, 215.0), ('CDD:270635', 435, 710, 102.0), ('CDD:270684', 436, 709, 72.4), ('CDD:133192', 440, 707, 83.9), ('CDD:133248', 440, 710, 95.6), ('CDD:173625', 440, 708, 103.0), ('CDD:270632', 440, 708, 86.3), ('CDD:271053', 440, 707, 90.9), ('CDD:132943', 442, 705, 107.0), ('CDD:270811', 442, 681, 65.0), ('CDD:270813', 442, 707, 53.9), ('CDD:173657', 445, 704, 64.5), ('CDD:270905', 445, 705, 84.9), ('CDD:270927', 446, 703, 90.6), ('CDD:270794', 447, 705, 49.7), ('CDD:270933', 447, 704, 64.7), ('CDD:270934', 447, 704, 64.3), ('CDD:133187', 448, 709, 119.0), ('CDD:173637', 448, 707, 88.3), ('CDD:223589', 448, 706, 99.0), ('CDD:270631', 448, 707, 94.5), ('CDD:270639', 448, 710, 65.2), ('CDD:270640', 448, 707, 90.2), ('CDD:270668', 448, 709, 103.0), ('CDD:270800', 448, 704, 65.1), ('CDD:270807', 448, 705, 80.5), ('CDD:270833', 448, 596, 51.8), ('CDD:270869', 448, 704, 86.3), ('CDD:270887', 448, 710, 54.6), ('CDD:270888', 448, 707, 71.2), ('CDD:270892', 448, 702, 57.3), ('CDD:270902', 448, 708, 73.8), ('CDD:270904', 448, 683, 75.4), ('CDD:270939', 448, 710, 45.4), ('CDD:270942', 448, 697, 53.1), ('CDD:270943', 448, 703, 43.5), ('CDD:270954', 448, 648, 52.0), ('CDD:270956', 448, 648, 89.3), ('CDD:270970', 448, 709, 60.7), ('CDD:270990', 448, 653, 48.5), ('CDD:271000', 448, 705, 72.9), ('CDD:271001', 448, 705, 78.7), ('CDD:271003', 448, 704, 52.9), ('CDD:271055', 448, 707, 42.3), ('CDD:271060', 448, 707, 93.7), ('CDD:271085', 448, 655, 48.5), ('CDD:271088', 448, 705, 58.3), ('CDD:271103', 448, 686, 63.9), ('CDD:271104', 448, 686, 69.3), ('CDD:271106', 448, 709, 87.3), ('CDD:271133', 448, 705, 75.9), ('CDD:132975', 449, 705, 65.1), ('CDD:133193', 449, 707, 79.3), ('CDD:143341', 449, 711, 52.5), ('CDD:143377', 449, 655, 45.4), ('CDD:270630', 449, 698, 92.7), ('CDD:270642', 449, 709, 80.1), ('CDD:270655', 449, 698, 71.3), ('CDD:270660', 449, 707, 97.0), ('CDD:270663', 449, 708, 77.3), ('CDD:270673', 449, 710, 93.5), ('CDD:270685', 449, 707, 73.0), ('CDD:270816', 449, 698, 66.6), ('CDD:270852', 449, 708, 48.8), ('CDD:270853', 449, 665, 55.8), ('CDD:270854', 449, 655, 51.9), ('CDD:270856', 449, 653, 51.5), ('CDD:270959', 449, 707, 72.1), ('CDD:270972', 449, 704, 63.3), ('CDD:270999', 449, 665, 59.5), ('CDD:271018', 449, 705, 75.0), ('CDD:271019', 449, 705, 60.6), ('CDD:271066', 449, 703, 59.5), ('CDD:173742', 451, 664, 53.5), ('CDD:270666', 451, 709, 83.4), ('CDD:270832', 451, 664, 64.5), ('CDD:270901', 451, 707, 190.0), ('CDD:270962', 451, 709, 88.9), ('CDD:270982', 451, 704, 68.0), ('CDD:270998', 451, 653, 51.7), ('CDD:271059', 451, 674, 48.3), ('CDD:271061', 451, 672, 75.6), ('CDD:271062', 451, 707, 64.5), ('CDD:271065', 451, 703, 48.8), ('CDD:132971', 454, 705, 74.3), ('CDD:133194', 454, 707, 80.8), ('CDD:133213', 454, 707, 70.0), ('CDD:133243', 454, 708, 84.2), ('CDD:143368', 454, 706, 55.7), ('CDD:173638', 454, 710, 81.8), ('CDD:197581', 454, 707, 135.0), ('CDD:214567', 454, 705, 139.0), ('CDD:214568', 454, 707, 136.0), ('CDD:270622', 454, 707, 128.0), ('CDD:270629', 454, 710, 94.4), ('CDD:270633', 454, 707, 86.0), ('CDD:270637', 454, 707, 100.0), ('CDD:270648', 454, 711, 83.2), ('CDD:270650', 454, 709, 91.6), ('CDD:270667', 454, 698, 96.9), ('CDD:270687', 454, 705, 86.4), ('CDD:270692', 454, 705, 118.0), ('CDD:270733', 454, 703, 73.8), ('CDD:270783', 454, 705, 94.1), ('CDD:270786', 454, 704, 84.6), ('CDD:270788', 454, 704, 80.8), ('CDD:270797', 454, 705, 77.7), ('CDD:270806', 454, 705, 74.7), ('CDD:270810', 454, 705, 76.2), ('CDD:270822', 454, 704, 89.1), ('CDD:270863', 454, 705, 77.3), ('CDD:270865', 454, 705, 71.2), ('CDD:270880', 454, 707, 117.0), ('CDD:270881', 454, 698, 94.4), ('CDD:270891', 454, 653, 57.1), ('CDD:270900', 454, 710, 89.4), ('CDD:270909', 454, 705, 80.2), ('CDD:270911', 454, 655, 85.7), ('CDD:270912', 454, 653, 65.8), ('CDD:270916', 454, 709, 137.0), ('CDD:270932', 454, 704, 65.5), ('CDD:270935', 454, 705, 75.0), ('CDD:270955', 454, 648, 64.3), ('CDD:270957', 454, 710, 75.5), ('CDD:270958', 454, 698, 87.3), ('CDD:270960', 454, 708, 121.0), ('CDD:270963', 454, 709, 110.0), ('CDD:270964', 454, 707, 100.0), ('CDD:270966', 454, 709, 95.3), ('CDD:270968', 454, 707, 105.0), ('CDD:270997', 454, 657, 62.3), ('CDD:271022', 454, 663, 65.9), ('CDD:271042', 454, 708, 56.6), ('CDD:271043', 454, 702, 57.7), ('CDD:271045', 454, 676, 70.9), ('CDD:271046', 454, 707, 70.6), ('CDD:271047', 454, 709, 102.0), ('CDD:271048', 454, 708, 105.0), ('CDD:271049', 454, 710, 107.0), ('CDD:271050', 454, 709, 102.0), ('CDD:271051', 454, 707, 75.1), ('CDD:271052', 454, 704, 87.4), ('CDD:271057', 454, 707, 87.1), ('CDD:271086', 454, 653, 52.7), ('CDD:271121', 454, 708, 55.4), ('CDD:271122', 454, 647, 62.8), ('CDD:271134', 454, 708, 89.9), ('CDD:425449', 454, 705, 143.0), ('CDD:429616', 454, 707, 143.0), ('CDD:173750', 455, 658, 42.4), ('CDD:270969', 455, 707, 51.1), ('CDD:270623', 456, 707, 138.0), ('CDD:270649', 456, 709, 76.4), ('CDD:270855', 456, 706, 93.7), ('CDD:270913', 456, 698, 58.5), ('CDD:133247', 457, 710, 96.6), ('CDD:270645', 457, 709, 96.0), ('CDD:270652', 457, 710, 81.1), ('CDD:270686', 457, 710, 83.1), ('CDD:270889', 457, 707, 55.0), ('CDD:270890', 457, 653, 54.4), ('CDD:270946', 457, 708, 52.2), ('CDD:270947', 457, 703, 69.1), ('CDD:270961', 457, 707, 120.0), ('CDD:270785', 458, 705, 77.7), ('CDD:270789', 458, 705, 74.2), ('CDD:270821', 458, 653, 57.3), ('CDD:270894', 458, 703, 84.4), ('CDD:173644', 459, 705, 63.8), ('CDD:173656', 459, 703, 71.5), ('CDD:270643', 459, 707, 80.2), ('CDD:271110', 459, 708, 60.7), ('CDD:270662', 460, 704, 52.6), ('CDD:270672', 460, 710, 75.0), ('CDD:270903', 460, 707, 64.7), ('CDD:133227', 461, 703, 52.2), ('CDD:270674', 461, 707, 82.3), ('CDD:270675', 461, 703, 61.2), ('CDD:270725', 461, 653, 47.7), ('CDD:270731', 461, 705, 63.4), ('CDD:270732', 461, 697, 54.9), ('CDD:270823', 461, 664, 66.0), ('CDD:270828', 461, 664, 45.2), ('CDD:270848', 461, 607, 48.9), ('CDD:270986', 461, 705, 55.1), ('CDD:271064', 461, 674, 55.4), ('CDD:271092', 461, 657, 61.5), ('CDD:133195', 462, 708, 84.2), ('CDD:270651', 462, 707, 77.6), ('CDD:270896', 462, 705, 67.7), ('CDD:270636', 463, 708, 70.8), ('CDD:270658', 463, 710, 69.7), ('CDD:270787', 463, 705, 90.1), ('CDD:270676', 464, 707, 62.3), ('CDD:270928', 464, 710, 83.0), ('CDD:270973', 464, 705, 50.5), ('CDD:271067', 464, 705, 62.5), ('CDD:270654', 465, 710, 69.3), ('CDD:270866', 465, 698, 67.0), ('CDD:133178', 466, 708, 91.4), ('CDD:143381', 466, 657, 46.2), ('CDD:271044', 466, 647, 68.6), ('CDD:132954', 467, 705, 110.0), ('CDD:132987', 467, 705, 62.8), ('CDD:133181', 467, 706, 77.6), ('CDD:133186', 467, 703, 61.7), ('CDD:143359', 467, 678, 51.7), ('CDD:143382', 467, 666, 48.9), ('CDD:143385', 467, 657, 47.6), ('CDD:270644', 467, 703, 72.0), ('CDD:270656', 467, 698, 68.9), ('CDD:270661', 467, 708, 46.4), ('CDD:270814', 467, 705, 61.5), ('CDD:270815', 467, 705, 72.5), ('CDD:270827', 467, 662, 41.9), ('CDD:270895', 467, 670, 57.4), ('CDD:270910', 467, 705, 89.1), ('CDD:270944', 467, 710, 81.9), ('CDD:270965', 467, 707, 68.5), ('CDD:270974', 467, 705, 69.1), ('CDD:270975', 467, 703, 66.3), ('CDD:270976', 467, 704, 45.1), ('CDD:270980', 467, 705, 56.2), ('CDD:270983', 467, 705, 56.1), ('CDD:271021', 467, 703, 74.6), ('CDD:271063', 467, 703, 65.0), ('CDD:271105', 467, 710, 73.8), ('CDD:411126', 467, 710, 76.8), ('CDD:270693', 468, 697, 68.3), ('CDD:270812', 468, 705, 56.2), ('CDD:270898', 468, 705, 77.7), ('CDD:271087', 468, 705, 52.6), ('CDD:270831', 475, 705, 50.7), ('CDD:215036', 482, 705, 55.2), ('CDD:270792', 482, 706, 96.7), ('CDD:270799', 482, 705, 65.5), ('CDD:270886', 482, 704, 46.4), ('CDD:270868', 483, 704, 91.3), ('CDD:132988', 484, 705, 53.5), ('CDD:270664', 484, 711, 85.3), ('CDD:270859', 484, 704, 89.0), ('CDD:270862', 484, 704, 56.7), ('CDD:270885', 484, 705, 65.3), ('CDD:270941', 484, 653, 53.8), ('CDD:270949', 484, 707, 59.8), ('CDD:270967', 484, 707, 88.7), ('CDD:271058', 484, 707, 88.3), ('CDD:271123', 484, 710, 66.9), ('CDD:270638', 486, 708, 48.7), ('CDD:271056', 486, 708, 80.6), ('CDD:271124', 486, 710, 83.1), ('CDD:132942', 487, 652, 61.7), ('CDD:270641', 487, 708, 74.7), ('CDD:270659', 487, 707, 79.2), ('CDD:270665', 487, 707, 67.6), ('CDD:270670', 487, 708, 46.9), ('CDD:270671', 487, 708, 68.9), ('CDD:270680', 487, 707, 47.3), ('CDD:270795', 487, 705, 54.7), ('CDD:271107', 487, 707, 78.1), ('CDD:271108', 487, 708, 56.1), ('CDD:270802', 488, 705, 76.3), ('CDD:270861', 488, 704, 54.0), ('CDD:132950', 489, 705, 53.0), ('CDD:132986', 489, 705, 64.0), ('CDD:133230', 489, 707, 87.7), ('CDD:173631', 489, 707, 74.6), ('CDD:173652', 489, 707, 78.9), ('CDD:173765', 489, 706, 79.6), ('CDD:215061', 489, 709, 65.6), ('CDD:270679', 489, 707, 78.1), ('CDD:270796', 489, 705, 72.7), ('CDD:270820', 489, 705, 61.3), ('CDD:270857', 489, 705, 78.4), ('CDD:270860', 489, 706, 67.8), ('CDD:270864', 489, 655, 56.4), ('CDD:270867', 489, 709, 59.8), ('CDD:270914', 489, 705, 76.6), ('CDD:270938', 489, 708, 54.1), ('CDD:132953', 490, 705, 53.7), ('CDD:143344', 490, 681, 50.5), ('CDD:173767', 490, 654, 55.3), ('CDD:240233', 490, 664, 50.9), ('CDD:270646', 490, 707, 85.2), ('CDD:270782', 490, 705, 93.2), ('CDD:270784', 490, 653, 46.7), ('CDD:270793', 490, 705, 89.8), ('CDD:270804', 490, 705, 52.7), ('CDD:270805', 490, 707, 60.4), ('CDD:270817', 490, 704, 50.1), ('CDD:270818', 490, 704, 47.3), ('CDD:270858', 490, 706, 71.4), ('CDD:270929', 490, 710, 80.6), ('CDD:270940', 490, 653, 50.3), ('CDD:270948', 490, 705, 58.9), ('CDD:271020', 490, 705, 59.3), ('CDD:270846', 491, 705, 50.4), ('CDD:173729', 494, 705, 64.8), ('CDD:270791', 494, 705, 80.5), ('CDD:270770', 497, 701, 57.2), ('CDD:132969', 498, 705, 69.3), ('CDD:270760', 498, 655, 44.3), ('CDD:270808', 498, 705, 68.9), ('CDD:133219', 500, 708, 59.6), ('CDD:270669', 500, 710, 45.2), ('CDD:270647', 501, 708, 56.7), ('CDD:173710', 508, 697, 57.6), ('CDD:270681', 512, 707, 59.2), ('CDD:173686', 515, 673, 50.8), ('CDD:270744', 515, 697, 52.8), ('CDD:270745', 515, 697, 50.5), ('CDD:270746', 515, 673, 44.6), ('CDD:270767', 515, 663, 51.5), ('CDD:173759', 518, 706, 72.3), ('CDD:270899', 518, 704, 53.9), ('CDD:270879', 519, 644, 46.4), ('CDD:270951', 519, 705, 52.5), ('CDD:270952', 519, 704, 41.9), ('CDD:173653', 528, 707, 48.5), ('CDD:270877', 541, 707, 47.5), ('CDD:271109', 541, 707, 60.0), ('CDD:240344', 557, 704, 64.5), ('CDD:133237', 569, 703, 46.8), ('CDD:270682', 569, 707, 52.6), ('CDD:270790', 569, 705, 58.5)]",[]
