# CDD410974:  DirectHits:  7    Rescued Proteins:  0    Prots with Domain in 1.C.57:  7 (46.7% from a total of 15)
# CDD411037:  DirectHits:  8    Rescued Proteins:  0    Prots with Domain in 1.C.57:  8 (53.3% from a total of 15)
# CDD403966:  DirectHits:  8    Rescued Proteins:  3    Prots with Domain in 1.C.57:  11 (73.3% from a total of 15)
# CDD410973:  DirectHits:  7    Rescued Proteins:  0    Prots with Domain in 1.C.57:  7 (46.7% from a total of 15)
# CDD411038:  DirectHits:  8    Rescued Proteins:  0    Prots with Domain in 1.C.57:  8 (53.3% from a total of 15)
# CDD288550:  DirectHits:  7    Rescued Proteins:  0    Prots with Domain in 1.C.57:  7 (46.7% from a total of 15)
# CDD372382:  DirectHits:  8    Rescued Proteins:  0    Prots with Domain in 1.C.57:  8 (53.3% from a total of 15)
# CDD410975:  DirectHits:  7    Rescued Proteins:  0    Prots with Domain in 1.C.57:  7 (46.7% from a total of 15)
1	1.C.57.1.1-P18177:2366	CDD411038|5-84:3.75e-31|DirectHit	CDD411037|4-84:1.67e-23|DirectHit	CDD403966|22-83:3.08e-10|DirectHit	CDD372382|96-468:6.31e-166|DirectHit	CDD410974|581-765:3.86e-09|DirectHit	CDD288550|575-754:7.96e-54|DirectHit	CDD410975|577-791:1.71e-88|DirectHit	CDD410973|579-752:4.34e-21|DirectHit
2	1.C.57.1.2-P16154:2710	CDD411038|5-82:1.60e-08|DirectHit	CDD411037|4-83:3.87e-18|DirectHit	CDD403966|21-82:8.87e-10|DirectHit	CDD372382|95-467:3.56e-164|DirectHit	CDD410974|583-767:1.18e-12|DirectHit	CDD288550|577-756:9.89e-54|DirectHit	CDD410975|579-793:7.95e-87|DirectHit	CDD410973|581-754:5.24e-22|DirectHit
3	1.C.57.1.3-Q46342:2364	CDD411038|5-84:3.63e-22|DirectHit	CDD411037|4-84:3.63e-24|DirectHit	CDD403966|22-83:5.99e-10|DirectHit	CDD372382|96-468:3.87e-134|DirectHit	CDD410974|581-765:7.69e-09|DirectHit	CDD288550|577-754:1.06e-45|DirectHit	CDD410975|577-791:6.59e-79|DirectHit	CDD410973|579-754:2.20e-20|DirectHit
4	1.C.57.1.4-Q46149:2178	CDD411038|4-83:2.50e-10|DirectHit	CDD411037|3-83:9.70e-22|DirectHit	CDD403966|21-83:1.37e-08|DirectHit	CDD372382|98-472:1.74e-52|DirectHit	CDD410974|571-788:8.77e-09|DirectHit	CDD288550|582-761:5.70e-21|DirectHit	CDD410975|584-798:2.01e-80|DirectHit	CDD410973|585-761:1.39e-15|DirectHit
5	1.C.57.1.5-A2PYQ6:1651	CDD411038|18-85:4.38e-06|DirectHit	CDD411037|4-86:6.81e-16|DirectHit	CDD403966|22-85:3.37e-07|DirectHit	CDD372382|98-467:1.69e-83|DirectHit	CDD410974|582-763:1.25e-11|DirectHit	CDD288550|578-752:2.65e-32|DirectHit	CDD410975|578-788:5.57e-81|DirectHit	CDD410973|579-750:9.30e-19|DirectHit
6	1.C.57.1.6-B6VNR0:2993	CDD411038|Nohit	CDD411037|Nohit	CDD403966|Nohit	CDD372382|Nohit	CDD410974|Nohit	CDD288550|Nohit	CDD410975|Nohit	CDD410973|Nohit
7	1.C.57.2.1-O82916:3169	CDD411038|Nohit	CDD411037|Nohit	CDD403966|178-234:2.98e-05|DirectHit	CDD372382|270-704:2.43e-56|DirectHit	CDD410974|Nohit	CDD288550|Nohit	CDD410975|Nohit	CDD410973|Nohit
8	1.C.57.2.2-Q9PKM8:3255	CDD411038|Nohit	CDD411037|Nohit	CDD403966|193-255:4.14e-16|DirectHit	CDD372382|290-740:3.55e-78|DirectHit	CDD410974|Nohit	CDD288550|Nohit	CDD410975|Nohit	CDD410973|Nohit
9	1.C.57.2.3-AVM98024:3218	CDD411038|Nohit	CDD411037|Nohit	CDD403966|181-243:4.42e-16|DirectHit	CDD372382|275-725:1.76e-86|DirectHit	CDD410974|Nohit	CDD288550|Nohit	CDD410975|Nohit	CDD410973|Nohit
10	1.C.57.3.1-P17452:1285	CDD411038|592-669:1.94e-33|DirectHit	CDD411037|591-669:1.57e-23|DirectHit	CDD403966|611-666:0.0019|Rescued2	CDD372382|Nohit	CDD410974|Nohit	CDD288550|Nohit	CDD410975|Nohit	CDD410973|Nohit
11	1.C.57.3.2-Q8KTM3:1014	CDD411038|Nohit	CDD411037|Nohit	CDD403966|Nohit	CDD372382|Nohit	CDD410974|Nohit	CDD288550|Nohit	CDD410975|Nohit	CDD410973|Nohit
12	1.C.57.3.3-Q47107:1014	CDD411038|Nohit	CDD411037|Nohit	CDD403966|Nohit	CDD372382|Nohit	CDD410974|Nohit	CDD288550|Nohit	CDD410975|Nohit	CDD410973|Nohit
