# CDD426687:  DirectHits:  6    Rescued Proteins:  3    Prots with Domain in 1.B.3:  9 (47.4% from a total of 19)
# CDD226946:  DirectHits:  6    Rescued Proteins:  3    Prots with Domain in 1.B.3:  9 (47.4% from a total of 19)
# CDD183498:  DirectHits:  6    Rescued Proteins:  3    Prots with Domain in 1.B.3:  9 (47.4% from a total of 19)
# CDD238656:  DirectHits:  6    Rescued Proteins:  3    Prots with Domain in 1.B.3:  9 (47.4% from a total of 19)
# CDD236481:  DirectHits:  6    Rescued Proteins:  3    Prots with Domain in 1.B.3:  9 (47.4% from a total of 19)
1	1.B.3.1.1-P02943:446	CDD183498|1-446:1.78e-57|DirectHit	CDD238656|26-446:3.20e-149|DirectHit	CDD426687|29-446:1.79e-174|DirectHit	CDD236481|1-446:0.0|DirectHit	CDD226946|1-446:0.0|DirectHit
2	1.B.3.1.2-P22340:505	CDD183498|96-505:3.37e-10|DirectHit	CDD238656|95-505:2.18e-127|DirectHit	CDD426687|98-505:6.34e-128|DirectHit	CDD236481|96-504:7.68e-37|DirectHit	CDD226946|94-504:3.51e-36|DirectHit
3	1.B.3.1.3-P26218:538	CDD183498|127-538:4.50e-38|DirectHit	CDD238656|125-538:2.12e-137|DirectHit	CDD426687|128-538:2.50e-111|DirectHit	CDD236481|127-538:1.24e-61|DirectHit	CDD226946|96-538:4.93e-179|DirectHit
4	1.B.3.1.4-F5ZA77:384	CDD183498|13-384:2.46e-07|DirectHit	CDD238656|33-384:1.07e-26|DirectHit	CDD426687|36-384:8.26e-25|DirectHit	CDD236481|5-384:5.43e-14|DirectHit	CDD226946|5-384:5.01e-16|DirectHit
5	1.B.3.1.5-K6YXR7:450	CDD183498|215-412:0.0071|Rescued1	CDD238656|89-448:1.7e-23|Rescued2	CDD426687|89-448:2.3e-23|Rescued2	CDD236481|215-412:0.0072|Rescued1	CDD226946|215-412:0.0072|Rescued1
6	1.B.3.1.6-I1DXN7:429	CDD183498|80-413:4.3e-23|Rescued2	CDD238656|80-413:7.5e-23|Rescued2	CDD426687|80-413:1e-22|Rescued2	CDD236481|80-413:7e-23|Rescued2	CDD226946|80-413:9.9e-23|Rescued2
7	1.B.3.1.7-O67300:436	CDD183498|Nohit	CDD238656|Nohit	CDD426687|Nohit	CDD236481|Nohit	CDD226946|Nohit
8	1.B.3.1.8-Q1QX07:438	CDD183498|64-436:0.0033|Rescued1	CDD238656|64-436:0.0032|Rescued1	CDD426687|64-436:0.0031|Rescued1	CDD236481|64-431:0.0035|Rescued1	CDD226946|64-431:0.0038|Rescued1
9	1.B.3.1.9-B5JKM4:422	CDD183498|Nohit	CDD238656|Nohit	CDD426687|Nohit	CDD236481|Nohit	CDD226946|Nohit
10	1.B.3.1.10-D8PC30:482	CDD183498|Nohit	CDD238656|Nohit	CDD426687|Nohit	CDD236481|Nohit	CDD226946|Nohit
11	1.B.3.1.11-I3IPM6:385	CDD183498|Nohit	CDD238656|Nohit	CDD426687|Nohit	CDD236481|Nohit	CDD226946|Nohit
12	1.B.3.1.12-B9XK47:447	CDD183498|Nohit	CDD238656|Nohit	CDD426687|Nohit	CDD236481|Nohit	CDD226946|Nohit
13	1.B.3.1.13-ADR60102:521	CDD183498|144-521:2.91e-10|DirectHit	CDD238656|109-521:3.65e-114|DirectHit	CDD426687|113-521:1.85e-111|DirectHit	CDD236481|111-520:9.03e-30|DirectHit	CDD226946|98-520:4.65e-28|DirectHit
14	1.B.3.1.14-WP_150996667:439	CDD183498|24-439:4.28e-110|DirectHit	CDD238656|24-439:2.18e-118|DirectHit	CDD426687|27-439:3.96e-135|DirectHit	CDD236481|1-439:0.0|DirectHit	CDD226946|24-439:7.09e-128|DirectHit
15	1.B.3.2.1-B1ZTF4:411	CDD183498|Nohit	CDD238656|Nohit	CDD426687|Nohit	CDD236481|Nohit	CDD226946|Nohit
16	1.B.3.2.2-L0GVD8:397	CDD183498|Nohit	CDD238656|Nohit	CDD426687|Nohit	CDD236481|Nohit	CDD226946|Nohit
17	1.B.3.2.3-A1U6U5:401	CDD183498|Nohit	CDD238656|Nohit	CDD426687|Nohit	CDD236481|Nohit	CDD226946|Nohit
18	1.B.3.2.4-WP_065677670:355	CDD183498|Nohit	CDD238656|Nohit	CDD426687|Nohit	CDD236481|Nohit	CDD226946|Nohit
19	1.B.3.3.1-Q6MQA4:448	CDD183498|Nohit	CDD238656|Nohit	CDD426687|Nohit	CDD236481|Nohit	CDD226946|Nohit
