# CDD437149:  DirectHits:  1    Rescued Proteins:  0    Prots with Domain in 1.G.7:  1 (20.0% from a total of 5)
# CDD395050:  DirectHits:  1    Rescued Proteins:  0    Prots with Domain in 1.G.7:  1 (20.0% from a total of 5)
# CDD425774:  DirectHits:  1    Rescued Proteins:  0    Prots with Domain in 1.G.7:  1 (20.0% from a total of 5)
# CDD173561:  DirectHits:  1    Rescued Proteins:  0    Prots with Domain in 1.G.7:  1 (20.0% from a total of 5)
# CDD197667:  DirectHits:  1    Rescued Proteins:  0    Prots with Domain in 1.G.7:  1 (20.0% from a total of 5)
1	1.G.7.1.1-P23425:442	CDD173561|349-430:8.29e-10|376-419:5.12e-11|DirectHit	CDD197667|386-402:2.92e-05|DirectHit	CDD425774|155-262:9.26e-05|DirectHit	CDD395050|385-402:4.05e-05|DirectHit	CDD437149|286-354:6.39e-09|DirectHit
2	1.G.7.2.1-C0L0N0:198	CDD173561|Nohit	CDD197667|Nohit	CDD425774|Nohit	CDD395050|Nohit	CDD437149|Nohit
3	1.G.7.2.2-Q8JU56:146	CDD173561|Nohit	CDD197667|Nohit	CDD425774|Nohit	CDD395050|Nohit	CDD437149|Nohit
4	1.G.7.2.3-YP_009351842:207	CDD173561|Nohit	CDD197667|Nohit	CDD425774|Nohit	CDD395050|Nohit	CDD437149|Nohit
5	1.G.7.2.4-QBX90058:188	CDD173561|Nohit	CDD197667|Nohit	CDD425774|Nohit	CDD395050|Nohit	CDD437149|Nohit
