Accession,Length,Family,Subfamily,Domains,Seperators
P35526,437,1.A.12,1.A.12.1,"[('CDD129941', 199, 435, 7.4e-160)]","[('BEGIN to CDD129941', 0, 198)]"
O00299,241,1.A.12,1.A.12.1,"[('CDD129941', 6, 241, 3.19e-162)]",[]
Q53G01,251,1.A.12,1.A.12.1,"[('CDD129941', 14, 249, 8.72e-164)]",[]
Q96NY7,704,1.A.12,1.A.12.1,"[('CDD129941', 471, 704, 9.07e-144)]","[('BEGIN to CDD129941', 0, 470)]"
O15247,247,1.A.12,1.A.12.1,"[('CDD129941', 12, 245, 2.48e-160)]",[]
Q9Y696,253,1.A.12,1.A.12.1,"[('CDD129941', 17, 252, 2.39e-167)]",[]
O95833,236,1.A.12,1.A.12.1,"[('CDD129941', 5, 229, 2.44e-93)]",[]
Q9FWR4,213,1.A.12,1.A.12.2,"[('CDD223698', 16, 201, 1.16e-26)]",[]
Q8F2Y8,218,1.A.12,1.A.12.2,"[('CDD129941', 4, 193, 4.2e-08)]",[]
P0ACA3,212,1.A.12,1.A.12.3,"[('CDD129941', 21, 212, 1.3e-10)]",[]
B7LBF5,214,1.A.12,1.A.12.3,"[('CDD129941', 17, 121, 0.00034)]","[('CDD129941 to END', 122, 213)]"
