# CDD399466:  DirectHits:  3    Rescued Proteins:  2    Prots with Domain in 9.A.18:  5 (100.0% from a total of 5)
# CDD399174:  DirectHits:  5    Rescued Proteins:  0    Prots with Domain in 9.A.18:  5 (100.0% from a total of 5)
# CDD224056:  DirectHits:  5    Rescued Proteins:  0    Prots with Domain in 9.A.18:  5 (100.0% from a total of 5)
# CDD171443:  DirectHits:  5    Rescued Proteins:  0    Prots with Domain in 9.A.18:  5 (100.0% from a total of 5)
# CDD182960:  DirectHits:  5    Rescued Proteins:  0    Prots with Domain in 9.A.18:  5 (100.0% from a total of 5)
# CDD226646:  DirectHits:  5    Rescued Proteins:  0    Prots with Domain in 9.A.18:  5 (100.0% from a total of 5)
1	9.A.18.1.1-P0AFY6:406	CDD399174|80-393:0.0|DirectHit	CDD224056|1-406:0.0|DirectHit	CDD171443|82-394:2.32e-134|DirectHit	CDD182960|1-406:0.0|DirectHit	CDD226646|68-395:4.05e-37|DirectHit	CDD399466|78-342:3.4e-66|Rescued1
2	9.A.18.1.2-Q08120:420	CDD399174|84-398:0.0|DirectHit	CDD224056|1-410:0.0|DirectHit	CDD171443|86-395:3.40e-130|DirectHit	CDD182960|1-410:0.0|DirectHit	CDD226646|74-393:5.09e-39|DirectHit	CDD399466|95-344:1.04e-07|DirectHit
3	9.A.18.1.3-B6AF79:344	CDD399174|64-322:3.94e-53|DirectHit	CDD224056|64-331:1.74e-42|DirectHit	CDD171443|1-322:2.08e-44|DirectHit	CDD182960|64-322:2.51e-41|DirectHit	CDD226646|36-327:3.29e-10|DirectHit	CDD399466|7-266:7.1e-21|Rescued1
4	9.A.18.1.4-Q9KI15:415	CDD399174|84-397:0.0|DirectHit	CDD224056|1-410:0.0|DirectHit	CDD171443|82-397:2.75e-135|DirectHit	CDD182960|1-410:0.0|DirectHit	CDD226646|77-397:2.79e-40|DirectHit	CDD399466|82-346:6.13e-14|DirectHit
5	9.A.18.1.5-Q986E2:419	CDD399174|84-397:2.14e-159|DirectHit	CDD224056|1-410:0.0|DirectHit	CDD171443|78-394:2.45e-116|DirectHit	CDD182960|1-410:0.0|DirectHit	CDD226646|81-393:2.88e-35|DirectHit	CDD399466|93-284:6.43e-06|DirectHit
